Subjugator-Class

Class: Dreadnaught
Cost: 0
"Armament: 0, weapontype, 0, anothertypeifthereisone"
Length: 0 Meters
Shields: Shield Type
Hull: Hull Type
Manufacturer: Manuname
Crew: 0
Cargo Capacity: 0 metric tons
Hyperdrive Rating: Hyperdrive
Max Acceleration: 0 g
MGLT: 0 MGLT
Passengers: 0
Hangar: 0
Lore: Some long paragraph
"Hull Health: 2,000,000"
"Shield Health: 1,500,000"
Shield Regen: 225
"Shield Damage: 45,000"
"Hull Damage: 60,000"
Grav Well: 0 
Boarding Shuttles: 1
Damage Resistance: 1.05
